tempo,stateEstimate.x,stateEstimate.y,stateEstimate.z,pm.batteryLevel,stabilizer.roll,stabilizer.pitch,stabilizer.yaw,
27356,5.857393,2.286252,0.058259,10.000000,0.444178,0.786788,13.918064,
27366,5.857790,2.286600,0.059294,10.000000,0.368910,0.624547,13.877789,
27376,5.857781,2.286596,0.059442,10.000000,0.375890,0.625632,13.865829,
27386,5.858341,2.286490,0.057448,10.000000,0.446487,0.499230,13.886120,
27396,5.858278,2.286730,0.057644,10.000000,0.370915,0.527231,13.827318,
27406,5.858040,2.286669,0.057837,10.000000,0.377445,0.613212,13.819549,
27416,5.858038,2.286672,0.057886,10.000000,0.377054,0.610909,13.806070,
27426,5.858034,2.286664,0.057937,10.000000,0.383869,0.613984,13.795650,
27436,5.858107,2.286435,0.056768,10.000000,0.449766,0.616449,13.820611,
27446,5.858274,2.286732,0.056886,10.000000,0.373875,0.556795,13.760057,
27456,5.858273,2.286732,0.056908,10.000000,0.379648,0.573879,13.749130,
27466,5.858277,2.286733,0.056917,10.000000,0.384246,0.583671,13.739717,
27476,5.858286,2.286743,0.054951,10.000000,0.389453,0.595470,13.727796,
27486,5.858284,2.286741,0.054849,10.000000,0.392778,0.604393,13.715692,
27496,5.858042,2.286675,0.054732,10.000000,0.395366,0.674361,13.698212,
27506,5.858037,2.286672,0.054653,10.000000,0.396646,0.663745,13.685102,
27516,5.858279,2.286733,0.054656,10.000000,0.395046,0.590097,13.674438,
27526,5.858290,2.286751,0.053041,10.000000,0.392821,0.598142,13.660683,
27536,5.858047,2.286697,0.052906,10.000000,0.389666,0.669695,13.645113,
27546,5.858051,2.286699,0.052751,10.000000,0.389071,0.655859,13.632133,
27556,5.858287,2.286757,0.052641,10.000000,0.387513,0.585707,13.621913,
27566,5.858288,2.286754,0.052632,10.000000,0.387807,0.593875,13.608327,
27576,5.858281,2.286756,0.052487,10.000000,0.386347,0.601928,13.594039,
27586,5.858042,2.286697,0.052353,10.000000,0.385258,0.669264,13.574948,
27596,5.857387,2.286294,0.051935,10.000000,0.446941,0.845989,13.561130,
27606,5.858256,2.286740,0.053874,10.000000,0.368477,0.539964,13.552192,
27616,5.857356,2.286277,0.053792,10.000000,0.432421,0.813278,13.533441,
27626,5.858004,2.286676,0.054712,10.000000,0.357222,0.574385,13.530392,
27636,5.857995,2.286674,0.054741,10.000000,0.362187,0.586008,13.516122,
27646,5.858049,2.286436,0.054790,10.000000,0.428595,0.592911,13.513147,
27656,5.858007,2.286684,0.053751,10.000000,0.352745,0.594325,13.478947,
27666,5.857345,2.286272,0.053862,10.000000,0.422487,0.787820,13.463593,
27676,5.857987,2.286669,0.054841,10.000000,0.347999,0.555390,13.465379,
27686,5.858226,2.286728,0.054741,10.000000,0.354670,0.503792,13.462778,
27696,5.858228,2.286729,0.054841,10.000000,0.360036,0.527974,13.447465,
27706,5.857988,2.286679,0.054203,10.000000,0.363321,0.612946,13.413304,
27716,5.857336,2.286269,0.054080,10.000000,0.431871,0.799349,13.389776,
27726,5.858217,2.286716,0.055663,10.000000,0.357631,0.499906,13.408278,
27736,5.858218,2.286719,0.055826,10.000000,0.362240,0.525595,13.391939,
27746,5.857335,2.286269,0.054817,10.000000,0.428939,0.797443,13.358431,
27756,5.857737,2.286614,0.055634,10.000000,0.353403,0.630730,13.350190,
27766,5.857733,2.286613,0.055688,10.000000,0.360452,0.628244,13.338987,
27776,5.857308,2.286263,0.055798,10.000000,0.428654,0.749507,13.312566,
27786,5.857967,2.286667,0.056729,10.000000,0.352743,0.521908,13.327670,
27796,5.858461,2.286796,0.055423,10.000000,0.359946,0.419633,13.336569,
27806,5.858218,2.286735,0.055968,10.000000,0.366047,0.530658,13.302137,
27816,5.858212,2.286737,0.056060,10.000000,0.369716,0.553191,13.286522,
27826,5.858211,2.286736,0.056135,10.000000,0.374555,0.569361,13.273691,
27836,5.857982,2.286692,0.054549,10.000000,0.378646,0.645352,13.243612,
